카테고리1,카테고리2,대표도시 국가,대표도시,판매가격,하나허브 마스터코드,마스터 상품코드,마스터 상품명
여행서비스,와이파이&SIM 카드,대만,타이페이,9900,JQF003,MHJ-PRD09DE6AKFZ,[대만전지역] 유심칩 데이터 무제한 인천공항 수령
여행서비스,와이파이&SIM 카드,싱가포르,싱가포르,38500,JQF003,MHJ-PRD09DE6KUSV,[싱가포르 말레이시아 전지역] 유심칩 데이터 무제한 인천공항 수령
여행서비스,와이파이&SIM 카드,호주,시드니,7000,JQF003,MHJ-PRD13A266WUN,[호주 뉴질랜드] SKT 포켓와이파이 무제한 데이터 인천공항 SKT부스 수령
여행서비스,와이파이&SIM 카드,대만,타이페이,9900,JQF003,MHJ-PRD13A26JUD2,[대만전지역] SKT 포켓와이파이 무제한 데이터 인천공항 SKT부스 수령
여행서비스,와이파이&SIM 카드,이탈리아,로마,47000,JQF003,MHJ-PRD1AF565EUR,[유럽통합] SKT 포켓와이파이 무제한 데이터 인천공항 SKT부스 수령 
여행서비스,와이파이&SIM 카드,태국,방콕,6720,JQF003,MHJ-PRD1AF56HJUQ,[태국] SKT 포켓와이파이 무제한 데이터 인천공항 SKT부스 수령
여행서비스,와이파이&SIM 카드,호주,시드니,50000,JQF003,MHJ-PRD1FD76LKWO,[호주 뉴질랜드] 유심칩 데이터 무제한 인천공항 수령
여행서비스,와이파이&SIM 카드,일본,오사카,3500,JQF003,MHJ-PRD24B96GDMB,[일본전지역] SKT 포켓와이파이 무제한 데이터 인천공항 SKT부스 수령
여행서비스,와이파이&SIM 카드,중국,북경,55000,JQF003,MHJ-PRD335925TOZ,[중국전지역] 유심칩 4일/5일/6일 매일 1GB VPN 없이 사용 인천공항 수령
여행서비스,와이파이&SIM 카드,일본,오사카,3500,JQF003,MHJ-PRD33592PMUO,[일본전지역] 유심칩 데이터 무제한 인천공항 수령
여행서비스,와이파이&SIM 카드,태국,방콕,6720,JQF003,MHJ-PRD44702APOF,[태국전지역] 유심칩 7일 4G/5G 데이터 15GB 후 저속무제한
여행서비스,와이파이&SIM 카드,이탈리아,로마,47000,JQF003,MHJ-PRD46E12PGQO,[유럽전지역] 쓰리심 유심칩 유럽내통화가능 인천공항 수령
트립,시내관광,스페인,바르셀로나,37100,EWF505,MHJ-PRD160D6GAHE,[아우라투어] ♥소규모+츄로스♥ 음악과 인생샷이 함께하는 고딕지구야경 워킹투어 가우디 산책길
트립,시내관광,스페인,바르셀로나,37100,EWF505,MHJ-PRD160D6LQ1G,[아우라투어]♥소규모♥ 사그라다 파밀리아 내부 투어 성가족 성당 선착순8명 세미 프라이빗
트립,시내관광,스페인,바르셀로나,37100,EWF505,MHJ-PRD160D6SZ6G,[아우라투어]♥오직 1팀을 위한 가우디♥단독 VIP 프라이빗 투어 + 사그라다 내부할인
트립,시내관광,스페인,바르셀로나,37100,EWF505,MHJ-PRD160D6UQRC,[아우라투어] ♥소규모+출발시간 선택♥ 가우디5작품+까사비센스입장+구엘공원오픈런
트립,버스투어/기차투어,일본,후쿠오카,3500,JQF010,MHJ-PRD07611EMJM,[출발확정] 후쿠오카 유후인 일일 버스투어 다자이후 벳푸 와쿠와쿠 #후쿠오카 1일 당일
트립,버스투어/기차투어,일본,오사카,3500,JQF010,MHJ-PRD07611F0VZ,[출발확정] 오사카 교토 일일 버스투어 아라시야마 청수사 와쿠와쿠 #교토 1일 당일
트립,근교투어,중국,상해,55000,CBF403,MHJ-PRD09DE9AAK7,[상해근교] 우전수향마을 당일여행 야경투어 상하이 핫플 가이드투어 - 동책유람선 포함
트립,랜드마크투어,중국,북경,55000,CBF403,MHJ-PRD09FDDTWIC,[북경] 한국어 가이드 무텐위 만리장성과 싼리툰 데이투어 모전욕 당일여행 - 리프트&슬라이드 포함
입장권/패스,공연&축제,중국,상해,55000,CBF403,MHJ-PRD0C432IROQ,[상해] 송성파크 & 천고정쇼 귀빈석 E티켓 (상하이 송성가무쇼)
입장권/패스,공연&축제,중국,상해,55000,CBF403,MHJ-PRD0C432PMNW,[항주] 송성파크 & 천고정쇼 귀빈석 E티켓 (항저우 송성가무쇼)
트립,근교투어,중국,상해,55000,CBF403,MHJ-PRD0EB42X9K6,[우전 1박 여행] 상하이 근교 우전수향마을 1박2일 투어 - 5성급 리조트 한국어 가이드 포함
입장권/패스,공연&축제,중국,상해,55000,CBF403,MHJ-PRD16139WLPI,[상해] 마시청 서커스 할인티켓 상하이 핫플레이스 ERA2 시공의여행
트립,근교투어,중국,상해,55000,CBF403,MHJ-PRD18B690PFH,[상해근교 당일여행] 주가각 수향마을 한국어가이드 데이투어 - 상하이 마시청서커스 선택관람
트립,근교투어,중국,상해,55000,CBF403,MHJ-PRD1AEF6NJBT,[항저우 출발] 우전수향마을 야경투어 항주근교 당일여행 한국어가이드 동책유람선포함 데이투어
트립,역사/교육여행,중국,상해,55000,CBF403,MHJ-PRD1FD16LQRL,[상해] 독립 운동 발자취 탐방 지식가이드 투어 - 상하이 대한민국 임시정부 홍구공원 만국공묘
트립,시내관광,중국,상해,55000,CBF403,MHJ-PRD1FD16TWKD,[상해] 토요일엔 상하이 로망스 - 예원 마시청서커스 황푸강유람선 투어
트립,근교투어,중국,상해,55000,CBF403,MHJ-PRD24B99WQHF,[상해근교] 복원고진 수향마을 상하이 근교여행 야경 일일투어
트립,근교투어,중국,북경,55000,CBF403,MHJ-PRD27246MZN8,[북경] 뉴 골드투어 - 베이징 일일 여행 이화원 경상공원 천단공원 조양서커스(홍극장)
트립,시내관광,중국,상해,55000,CBF403,MHJ-PRD2C0C9LX5M,[상해] 상하이베스트데이투어 - 동방명주 송성가무쇼 스타벅스리저브 황포강유람선 포함
트립,근교투어,중국,북경,55000,CBF403,MHJ-PRD2E8A1XDOW,"[북경] 베이징 고북수진 수향마을과 사마대장성 데이투어, 만리장성 야경 당일여행  (왕복 케이블카 포함)"
여행서비스,픽업서비스,중국,상해,55000,CBF403,MHJ-PRD2E8A1ZEDV,[상해] 상하이 공항픽업 & 공항샌딩 (편도) 승용차 승합차 버스
페리,크루즈,중국,상해,55000,CBF403,MHJ-PRD2EAF9IUUP,[상해] 황푸강 유람선 상하이 야경투어 황포강 야간 크루즈 할인티켓
트립,랜드마크투어,중국,북경,55000,CBF403,MHJ-PRD384E1IKJN,[북경] 베이징 만리장성(거용관)과 이화원 데이투어
트립,랜드마크투어,중국,북경,55000,CBF403,MHJ-PRD3FA112RPX,[북경] 남쌤과 같이 하는 베이징 천안문&자금성 지식가이드 투어
입장권/패스,공연&축제,중국,북경,55000,CBF403,MHJ-PRD46EDD3ZLJ,[북경] 조양서커스(홍극장) 할인티켓
입장권/패스,공연&축제,중국,북경,55000,CBF403,MHJ-PRD46EDDOLYZ,[북경] 진락궁서커스 할인티켓
입장권/패스,공연&축제,중국,상해,55000,CBF403,MHJ-PRD4BC36OIDW,[항주] 항저우 인상서호쇼 E티켓
입장권/패스,전망대&스카이라운지,이탈리아,로마,47000,EZF104,MHJ-PRD051B90RLY,[로마] 레오나르도 다빈치 국제공항 라운지 이용권 (택1 사용)
입장권/패스,공연&축제,스페인,바르셀로나,37100,EZF101,MHJ-PRD051B9RX0G,[바르셀로나] 까사밀라 입장권 티켓 예약  #라페드레라
입장권/패스,랜드마크,대만,타이페이,9900,ATF409,MHJ-PRD051BD1FCI,[즉시확정][대만] 단수이 홍마오청 역사박물관 입장권 
입장권/패스,"철도,교통패스",대만,타이페이,9900,ATF409,MHJ-PRD051BDFZUD,[즉시확정] [대만] 타오위안 공항철도 MRT 승차권 (타오위안 공항/타이베이 메인역 수령)
